WSJID,OrderedID,Relation,Conn1Sense1,Conn1Sense2,Conn1,Conn2Sense1,Conn2Sense2,Conn2,PDTB_Arg1Begin,PDTB_Arg1End,PDTB_Arg2Begin,PDTB_Arg2End,PDTB_Arg1SpansNo,PDTB_Arg2SpansNo,PDTB_ArgOverlap,RST_Arg1IsRelation,RST_Arg1Span,RST_Arg1Diff,RST_Arg1Begin,RST_Arg1End,RST_Arg2IsRelation,RST_Arg2Span,RST_Arg2Diff,RST_Arg2Begin,RST_Arg2End,RST_RelationSpan,ExtraSpans,Sats,Nucs,arg1Sats,arg1Nucs,arg2Sats,arg2Nucs,RST_RelationName,revise,strictRevise,multiNucleiEncounters,multiNucleiRoot,attrEncounters,attrRoot,problemTraversing,sameunitTreatment,pdtbRelAttribution
601,9,Explicit,Expansion.Conjunction, EMPTY,and,EMPTY,EMPTY,EMPTY,1430,1462,1467,1522,1,1,FALSE,FALSE,25,0,1430,1462,FALSE,26,5,1463,1523,25 26,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,10,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,1524,1634,1636,1871,1,1,FALSE,TRUE,27 28,1,1524,1635,TRUE,29 31,1,1636,1872,27 75,44,0,2,0,0,0,2,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,11,Implicit,Expansion.Restatement.Specification, EMPTY,specifically,EMPTY,EMPTY,EMPTY,1636,1871,1873,1976,1,1,FALSE,TRUE,29 31,1,1636,1872,FALSE,32,1,1873,1977,29 32,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,12,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,1980,2188,2190,2254,1,1,FALSE,TRUE,33 34,1,1980,2189,TRUE,35 36,1,2190,2255,33 36,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
601,13,Implicit,Expansion.Restatement.Specification, EMPTY,in short,EMPTY,EMPTY,EMPTY,2258,2331,2334,2393,1,1,FALSE,FALSE,37,1,2258,2332,TRUE,38 40,3,2333,2395,37 44,4,0,1,0,0,0,1,explanation-argumentative,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
601,14,Explicit,Comparison.Contrast.Juxtaposition, EMPTY,but,EMPTY,EMPTY,EMPTY,2334,2393,2494,2528,1,1,FALSE,TRUE,38 40,3,2333,2395,FALSE,44,7,2489,2530,38 44,3,2,1,0,0,2,1,attribution,FALSE,TRUE,0,FALSE,1,TRUE,FALSE,FALSE,Comm::Ot::Null
601,15,Explicit,Comparison.Contrast.Opposition, EMPTY,yet,EMPTY,EMPTY,EMPTY,2533,2779,3035,3255,1,1,FALSE,TRUE,45 47,1,2533,2780,TRUE,56 58,5,3031,3256,37 75,33,1,4,1,1,0,3,Contrast,FALSE,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,16,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,2533,2649,2782,2867,1,1,FALSE,FALSE,45,26,2533,2675,TRUE,48 49,3,2781,2869,45 55,8,0,4,0,2,0,2,explanation-argumentative,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
601,17,Explicit,Temporal.Asynchronous.Precedence, EMPTY,before,EMPTY,EMPTY,EMPTY,2676,2718,2726,2779,1,1,FALSE,FALSE,46,0,2676,2718,FALSE,47,8,2719,2780,45 47,1,1,0,1,0,0,0,temporal-before,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,18,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,3031,3255,3258,3303,2,1,FALSE,TRUE,56 58,1,3031,3256,FALSE,59,3,3257,3305,56 59,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
601,19,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,3308,3493,3495,3743,1,1,FALSE,TRUE,60 62,1,3308,3494,TRUE,63 65,1,3495,3744,60 65,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
601,20,Explicit,Contingency.Condition.Hypothetical, EMPTY,if,EMPTY,EMPTY,EMPTY,3544,3743,3498,3542,1,1,FALSE,TRUE,64 65,1,3544,3744,FALSE,63,4,3495,3543,63 65,0,0,0,0,0,0,0,condition,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,21,Explicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,3747,3971,3977,4288,1,1,FALSE,TRUE,66 67,1,3747,3972,TRUE,68 71,6,3973,4290,66 71,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
601,22,Explicit,Temporal.Asynchronous.Succession,Contingency.Cause.Reason,when,EMPTY,EMPTY,EMPTY,3973,4288,4041,4112,2,1,TRUE,TRUE,68 71,2,3973,4290,FALSE,69,6,4036,4113,68 71,-1,-1,-1,0,0,0,0,attribution,TRUE,TRUE,1,FALSE,0,TRUE,FALSE,FALSE,Comm::Wr::Null
602,0,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,1179,1313,1315,1343,1,1,FALSE,TRUE,30 31,1,1179,1314,FALSE,32,1,1315,1344,30 32,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
602,1,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,1315,1343,1345,1437,1,1,FALSE,FALSE,32,1,1315,1344,TRUE,33 34,1,1345,1438,28 34,4,2,0,2,0,0,0,Comparison,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
602,2,Implicit,Contingency.Cause.Reason, EMPTY,because,EMPTY,EMPTY,EMPTY,2194,2243,2245,2286,1,1,FALSE,FALSE,48,1,2194,2244,FALSE,49,1,2245,2287,48 49,0,0,0,0,0,0,0,explanation-argumentative,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
602,3,Implicit,Expansion.Restatement.Specification, EMPTY,in particular,EMPTY,EMPTY,EMPTY,2544,2617,2619,2668,1,1,FALSE,FALSE,56,1,2544,2618,FALSE,57,60,2619,2728,54 59,4,1,1,1,0,0,1,elaboration-general-specific,FALSE,TRUE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
603,0,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,9,197,199,241,1,1,FALSE,TRUE,1 4,1,9,198,FALSE,5,1,199,242,1 5,0,0,0,0,0,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
604,0,Implicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,61,201,203,325,1,1,FALSE,TRUE,2 3,1,61,202,FALSE,4,1,203,326,2 4,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,1,Implicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,203,325,327,376,1,1,FALSE,FALSE,4,1,203,326,FALSE,5,1,327,377,2 5,2,0,1,0,1,0,0,elaboration-additional,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,2,Implicit,Expansion.Restatement.Specification, EMPTY,in particular,EMPTY,EMPTY,EMPTY,399,422,424,718,1,1,FALSE,FALSE,7,1,399,423,TRUE,8 15,1,424,719,6 21,7,0,3,0,1,0,2,elaboration-general-specific,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,3,Explicit,Expansion.Conjunction, EMPTY,and,EMPTY,EMPTY,EMPTY,424,662,776,963,1,1,FALSE,TRUE,8 15,57,424,719,TRUE,18 19,5,772,964,8 21,4,0,2,0,1,0,1,interpretation-s,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,4,Implicit,Contingency.Cause.Reason, EMPTY,because,EMPTY,EMPTY,EMPTY,424,662,721,759,2,1,FALSE,TRUE,8 15,57,424,719,FALSE,16,2,720,760,8 17,1,0,1,0,0,0,1,comment,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,5,Explicit,Temporal.Synchrony, EMPTY,when,EMPTY,EMPTY,EMPTY,531,569,576,620,1,1,FALSE,FALSE,10,1,531,570,TRUE,11 12,8,571,623,10 12,0,0,0,0,0,0,0,temporal-same-time,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,6,Implicit,Expansion.Restatement.Specification, EMPTY,in other words,EMPTY,EMPTY,EMPTY,923,963,984,1046,1,1,FALSE,FALSE,19,5,919,964,FALSE,21,1,984,1047,18 21,2,0,2,0,1,0,1,elaboration-additional,FALSE,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,7,Implicit,Contingency.Cause.Reason, EMPTY,because,EMPTY,EMPTY,EMPTY,1050,1089,1091,1314,1,1,FALSE,FALSE,22,1,1050,1090,TRUE,23 24,1,1091,1315,22 40,16,0,3,0,0,0,3,explanation-argumentative,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,8,AltLex,Comparison.Contrast, EMPTY,,EMPTY,EMPTY,EMPTY,1091,1314,1316,1421,1,1,FALSE,TRUE,23 24,1,1091,1315,TRUE,25 26,1,1316,1422,23 26,0,0,0,0,0,0,0,Comparison,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,9,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,1316,1421,1423,1539,1,1,FALSE,TRUE,25 26,1,1316,1422,TRUE,27 30,91,1423,1630,23 30,2,0,1,0,1,0,0,evaluation-s,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,EMPTY
604,10,Explicit,Comparison.Pragmatic contrast, EMPTY,but,EMPTY,EMPTY,EMPTY,1507,1539,1545,1628,1,1,FALSE,FALSE,28,2,1506,1540,TRUE,29 30,6,1541,1630,28 30,0,0,0,0,0,0,0,enablement,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Ot::Null
604,11,Implicit,Comparison.Contrast.Juxtaposition, EMPTY,by comparison,EMPTY,EMPTY,EMPTY,1633,1717,1719,1803,1,1,FALSE,TRUE,31 32,1,1633,1718,FALSE,33,1,1719,1804,31 40,7,0,2,0,0,0,2,Contrast,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,12,Explicit,Expansion.Restatement, EMPTY,in fact,EMPTY,EMPTY,EMPTY,1719,1803,1871,1971,1,1,FALSE,FALSE,33,1,1719,1804,TRUE,35 40,227,1862,2189,33 40,1,0,1,0,1,0,0,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,13,Explicit,Comparison.Concession.Contra-expectation, EMPTY,although,EMPTY,EMPTY,EMPTY,1719,1803,1814,1858,1,1,FALSE,FALSE,33,1,1719,1804,FALSE,34,10,1805,1859,33 34,0,0,0,0,0,0,0,concession,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,14,Explicit,Comparison.Pragmatic concession, EMPTY,but,EMPTY,EMPTY,EMPTY,1862,2044,2050,2188,1,1,FALSE,TRUE,35 40,145,1862,2189,TRUE,39 40,5,2046,2189,35 40,-2,-1,-1,0,0,0,0,Same-Unit,TRUE,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,15,Implicit,Comparison.Contrast, EMPTY,but,EMPTY,EMPTY,EMPTY,1862,1971,1973,2044,1,1,FALSE,TRUE,35 40,218,1862,2189,FALSE,38,1,1973,2045,35 40,-1,-1,-1,0,0,0,0,Same-Unit,TRUE,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,16,Explicit,Contingency.Cause.Reason, EMPTY,as,EMPTY,EMPTY,EMPTY,2046,2081,2086,2188,1,1,FALSE,FALSE,39,1,2046,2082,FALSE,40,4,2083,2189,39 40,0,0,0,0,0,0,0,circumstance,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,17,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,2281,2340,2342,2411,1,1,FALSE,FALSE,44,1,2281,2341,FALSE,45,1,2342,2412,41 48,6,0,3,0,1,0,2,evidence,FALSE,FALSE,2,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,18,Implicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,2342,2411,2413,2505,1,1,FALSE,FALSE,45,1,2342,2412,FALSE,46,1,2413,2506,45 46,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,19,Implicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,2413,2505,2507,2621,1,1,FALSE,FALSE,46,1,2413,2506,TRUE,47 48,1,2507,2622,45 48,1,0,1,0,1,0,0,List,FALSE,FALSE,1,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,20,Explicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,2507,2550,2555,2621,1,1,FALSE,FALSE,47,0,2507,2550,FALSE,48,5,2551,2622,47 48,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,21,Implicit,Expansion.Conjunction, EMPTY,indeed,EMPTY,EMPTY,EMPTY,2625,2722,2724,2927,1,1,FALSE,TRUE,49 52,1,2625,2723,TRUE,53 56,1,2724,2928,49 57,1,1,0,0,0,1,0,explanation-argumentative,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,22,Explicit,Temporal.Asynchronous.Succession, EMPTY,when,EMPTY,EMPTY,EMPTY,2644,2722,2654,2677,2,1,TRUE,TRUE,50 52,1,2644,2723,FALSE,51,6,2649,2678,51 52,-2,-1,-1,0,0,0,0,circumstance-e,TRUE,TRUE,0,FALSE,0,FALSE,FALSE,TRUE,Comm::Ot::Null
604,23,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,2724,2927,2929,2999,1,1,FALSE,TRUE,53 56,1,2724,2928,FALSE,57,1,2929,3000,53 57,0,0,0,0,0,0,0,background,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,EMPTY
604,24,Explicit,Temporal.Synchrony, EMPTY,when,EMPTY,EMPTY,EMPTY,2724,2927,2747,2778,2,1,TRUE,TRUE,53 56,1,2724,2928,FALSE,54,5,2742,2778,53 56,-1,-1,-1,0,0,0,0,Same-Unit,TRUE,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,25,Explicit,Comparison.Contrast.Opposition, EMPTY,yet,EMPTY,EMPTY,EMPTY,3003,3097,3125,3206,1,1,FALSE,TRUE,58 60,1,3003,3098,FALSE,63,3,3124,3208,58 63,2,0,1,0,0,0,1,antithesis,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,26,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,3099,3206,3209,3320,2,2,FALSE,TRUE,61 63,2,3099,3208,TRUE,64 66,1,3209,3321,58 66,3,0,1,0,1,0,0,evidence,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,27,Explicit,Comparison.Concession.Contra-expectation, EMPTY,though,EMPTY,EMPTY,EMPTY,3209,3271,3289,3320,1,1,FALSE,FALSE,64,1,3209,3272,FALSE,66,8,3282,3321,64 66,1,0,1,0,1,0,0,concession,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Ot::Null
604,28,Implicit,Expansion.Alternative.Chosen alternative, EMPTY,rather,EMPTY,EMPTY,EMPTY,3325,3434,3436,3479,1,1,FALSE,TRUE,67 70,2,3324,3435,FALSE,71,2,3436,3481,67 72,1,0,1,0,0,0,1,elaboration-additional,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Ot::Null
604,29,Explicit,Comparison.Concession, EMPTY,still,EMPTY,EMPTY,EMPTY,3436,3479,3511,3644,1,1,FALSE,FALSE,71,2,3436,3481,TRUE,74 78,1,3511,3645,58 90,27,2,3,2,1,0,2,concession,FALSE,TRUE,1,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,30,Explicit,Expansion.List, EMPTY,and,EMPTY,EMPTY,EMPTY,3575,3612,3618,3644,1,1,FALSE,FALSE,77,1,3575,3613,FALSE,78,5,3614,3645,77 78,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Ot::Null
604,31,Implicit,Contingency.Cause.Reason, EMPTY,because,EMPTY,EMPTY,EMPTY,3648,3717,3719,3827,1,1,FALSE,FALSE,79,1,3648,3718,FALSE,80,1,3719,3828,79 80,0,0,0,0,0,0,0,explanation-argumentative,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,32,Implicit,Expansion.Instantiation, EMPTY,for example,EMPTY,EMPTY,EMPTY,3988,4042,4044,4296,1,1,FALSE,FALSE,84,1,3988,4043,TRUE,85 90,2,4044,4298,84 90,0,0,0,0,0,0,0,evidence,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,33,Explicit,Temporal.Synchrony, EMPTY,while,EMPTY,EMPTY,EMPTY,4165,4224,4231,4296,1,1,FALSE,FALSE,89,0,4165,4224,FALSE,90,8,4225,4298,89 90,0,0,0,0,0,0,0,temporal-same-time,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,PAtt::Ot::Null
604,34,Implicit,Contingency.Cause.Reason, EMPTY,because,EMPTY,EMPTY,EMPTY,4390,4443,4446,4571,1,1,FALSE,TRUE,91 92,90,4301,4444,TRUE,93 95,2,4445,4572,91 96,1,0,1,0,0,0,1,explanation-argumentative,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Ot::Null
604,35,Implicit,Contingency.Cause.Result, EMPTY,therefore,EMPTY,EMPTY,EMPTY,4446,4571,4582,4708,1,1,FALSE,TRUE,93 95,2,4445,4572,TRUE,97 99,2,4582,4710,91 99,3,1,1,1,1,0,0,interpretation-s,FALSE,TRUE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,36,Explicit,Temporal.Synchrony, EMPTY,when,EMPTY,EMPTY,EMPTY,4490,4539,4546,4571,1,1,FALSE,FALSE,94,1,4490,4540,FALSE,95,6,4541,4572,93 95,1,1,0,1,0,0,0,circumstance,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Ot::Null
604,37,Implicit,Expansion.Conjunction, EMPTY,in fact,EMPTY,EMPTY,EMPTY,4713,4840,4842,4957,1,1,FALSE,FALSE,100,1,4713,4841,FALSE,101,2,4842,4959,100 104,3,0,1,0,0,0,1,elaboration-additional,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,38,Implicit,Comparison.Contrast, EMPTY,however,EMPTY,EMPTY,EMPTY,4842,5043,5045,5081,1,1,FALSE,TRUE,101 104,39,4842,5082,FALSE,104,1,5045,5082,101 104,-1,-1,-1,0,0,0,0,consequence-s,TRUE,TRUE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,39,Implicit,Temporal.Synchrony,Expansion.Conjunction,meanwhile,EMPTY,EMPTY,EMPTY,5045,5081,5083,5173,1,1,FALSE,FALSE,104,1,5045,5082,TRUE,105 106,1,5083,5174,100 121,19,4,1,3,0,1,1,Question-Answer,FALSE,TRUE,0,TRUE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,40,AltLex,Contingency.Cause.Result, EMPTY,,EMPTY,EMPTY,EMPTY,5083,5173,5175,5384,1,1,FALSE,TRUE,105 106,1,5083,5174,TRUE,107 108,1,5175,5385,105 111,3,0,1,0,0,0,1,result,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,41,Explicit,Expansion.Conjunction, EMPTY,also,EMPTY,EMPTY,EMPTY,5255,5384,5406,5532,1,2,FALSE,FALSE,108,69,5187,5385,TRUE,110 111,1,5406,5533,107 111,2,1,1,1,0,0,1,interpretation-s,FALSE,TRUE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Ot::Null
604,42,Explicit,Temporal.Asynchronous.Precedence,Contingency.Cause.Result,then,EMPTY,EMPTY,EMPTY,5536,5703,5835,5963,1,2,FALSE,TRUE,112 113,1,5536,5704,FALSE,117,1,5835,5964,112 121,7,2,1,0,0,2,1,consequence-s,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,43,Implicit,Contingency.Cause.Result, EMPTY,as a result,EMPTY,EMPTY,EMPTY,5536,5703,5705,5789,1,1,FALSE,TRUE,112 113,1,5536,5704,TRUE,114 115,2,5705,5791,112 121,6,0,2,0,0,0,2,consequence-s,FALSE,FALSE,0,FALSE,1,FALSE,FALSE,FALSE,Comm::Wr::Null
604,44,Explicit,Comparison.Contrast.Juxtaposition, EMPTY,however,EMPTY,EMPTY,EMPTY,5835,5963,6038,6177,1,1,FALSE,FALSE,117,1,5835,5964,TRUE,119 121,10,6029,6178,117 121,1,1,0,1,0,0,0,interpretation-s,FALSE,TRUE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,45,Explicit,Comparison.Concession.Contra-expectation, EMPTY,however,EMPTY,EMPTY,EMPTY,6181,6236,6355,6518,1,1,FALSE,FALSE,122,1,6181,6237,TRUE,125 129,10,6346,6519,122 129,2,0,1,0,1,0,0,antithesis,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
604,46,Explicit,Expansion.Alternative.Disjunctive, EMPTY,unless,EMPTY,EMPTY,EMPTY,6371,6493,6501,6518,1,1,FALSE,TRUE,126 128,0,6371,6493,FALSE,129,8,6494,6519,126 129,0,0,0,0,0,0,0,condition,FALSE,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,Comm::Ot::Null
604,47,EntRel,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,6522,6593,6595,6814,1,1,FALSE,TRUE,130 131,1,6522,6594,TRUE,132 134,1,6595,6815,130 135,1,0,1,0,0,0,1,elaboration-additional,FALSE,FALSE,1,FALSE,0,FALSE,FALSE,FALSE,EMPTY
604,48,Explicit,Expansion.Conjunction, EMPTY,also,EMPTY,EMPTY,EMPTY,6595,6814,6816,6877,2,2,FALSE,TRUE,132 134,1,6595,6815,FALSE,135,1,6816,6878,132 135,0,0,0,0,0,0,0,List,FALSE,FALSE,0,TRUE,0,FALSE,FALSE,FALSE,Comm::Wr::Null
